,genes
1503,COL5A3
1504,DOC2B
1505,INF2
1506,SRRM4
1507,NMRAL1
1508,ARHGAP18
1509,SYNE1
1510,DBT
1511,LDHD
1512,PDIA6
1513,DENND1C
1514,METTL18
1515,SORCS2
1516,TSPO
1517,PKNOX1
1518,METRNL
1519,PPM1H
1520,PDZD4
1521,HMGCS1
1522,GSTM5
1523,SETD7
1524,TRIP6
1525,ARHGEF9
1526,KLHL42
1527,LMO1
1528,VPS41
1529,GPR1
1530,ITGB2
1531,PITPNA
1532,NDUFAF5
1533,LPCAT3
1534,TRUB1
1535,CD63
1536,KLHL5
1537,SHISA7
1538,NAA40
1539,KLF5
1540,NLRC5
1541,RDH11
1542,ATR
1543,DGKE
1544,KLHL32
1545,NIPAL2
1546,EHD3
1547,ST7
1548,CRKL
1549,HSPBP1
1550,ST3GAL2
1551,BTG3
1552,LRRTM2
1553,CTTNBP2
1554,GPR139
1555,PGM2L1
1556,CACNA1I
1557,FBN1
1558,IGSF9
1559,NTSR1
1560,KLHDC1
1561,IL11
1562,UNG
1563,GPR155
1564,AP3D1
1565,CCDC89
1566,SDHA
1567,GAS8
1568,SNAP47
1569,MEIS3
1570,NAT8L
1571,MGAT5B
1572,CNPY1
1573,DGKD
1574,AKAP8
1575,ATP7B
1576,SLC27A4
1577,SP3
1578,CGN
1579,RBPJL
1580,DOK1
1581,CLVS1
1582,AURKAIP1
1583,HIVEP2
1584,ODF2
1585,KCNMA1
1586,CAMSAP2
1587,FDXR
1588,INHA
1589,FN3K
1590,BCL2L12
1591,SLC44A5
1592,TRPT1
1593,TANGO2
1594,PIM3
1595,PDE3A
1596,MB
1597,ALDH3A2
1598,RTN3
1599,SEMA6D
1600,ROBO2
1601,RNF216
1602,BRINP2
1603,HMOX2
1604,BAZ2A
1605,MRM1
1606,ADCY8
1607,TUBB3
1608,RTN4R
1609,LPAR3
1610,EYA1
1611,MCAT
1612,PRPF3
1613,PAK1
1614,DPF1
1615,RIN1
1616,NPAS3
1617,C2CD5
1618,TFAP2A
1619,TM2D1
1620,ZER1
1621,OGDHL
1622,CHD3
1623,KIAA1522
1624,SH3D19
1625,GPR22
1626,TBC1D8B
1627,ALS2CL
1628,CPSF7
1629,LMCD1
1630,PAQR9
1631,SPEF2
1632,CPNE4
1633,COPZ2
1634,SEMA6B
1635,MED14
1636,PAPOLG
