,genes
1588,ZNF831
1589,SAP30L
1590,TYRO3
1591,RRP12
1592,COL9A1
1593,PEMT
1594,SAR1B
1595,FCHO2
1596,PUM1
1597,TBXA2R
1598,CADM4
1599,HELQ
1600,TMEM176A
1601,JADE2
1602,PRDM1
1603,NR2C1
1604,EML6
1605,ADRB2
1606,DDX23
1607,VAT1L
1608,RRAS2
1609,DLX6
1610,ANKRD6
1611,JUP
1612,CACNG3
1613,SPATS2L
1614,SUMF2
1615,USP36
1616,GPR26
1617,APH1B
1618,PDE6H
1619,ZNF471
1620,NEDD1
1621,GAS2
1622,KDSR
1623,FAM83H
1624,NUAK2
1625,ADO
1626,ISLR
1627,COMT
1628,OSR1
1629,WSB2
1630,REEP2
1631,PLXDC1
1632,IPO9
1633,IRF7
1634,NMRK1
1635,KAT2B
1636,PARM1
1637,TNFRSF25
1638,FAM222B
1639,CDH8
1640,SLC16A7
1641,DR1
1642,SHISA9
1643,FSTL4
1644,TET2
1645,STK4
1646,SLC30A3
1647,HEYL
1648,MBOAT7
1649,NFATC2
1650,PDCL
1651,RTP1
1652,IGSF3
1653,GLT1D1
1654,BCL7B
1655,ACSS1
1656,IBTK
1657,HSPB8
1658,GRID2
1659,NFATC1
1660,GGA2
1661,RAB36
1662,SOWAHB
1663,DBX2
1664,PLEKHA5
1665,ERBB3
1666,RILP
1667,KCNA1
1668,COBLL1
1669,TTBK2
1670,IRAK4
1671,NABP1
1672,BCHE
1673,MED12L
1674,ABRACL
1675,GNG13
1676,GTF3C5
1677,TMEM117
1678,SGTB
1679,CADM2
1680,APBA1
1681,HMG20B
